,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
Berlin,7613,8,0,0,0,8,222,36,181,5,0
Berlin Township,5375,11,0,0,6,5,219,23,194,2,2
Bernards Township,26741,4,0,1,2,1,156,16,135,5,1
Bernardsville,7733,2,1,0,0,1,40,2,37,1,0
Beverly,2586,9,0,0,1,8,69,22,46,1,0
Blairstown Township,5987,4,0,0,0,4,59,12,46,1,0
Bloomfield,47472,126,0,5,81,40,1040,213,650,177,2
Bloomingdale,7681,13,1,0,0,12,56,10,44,2,0
Bogota,8214,12,0,0,9,3,71,26,39,6,2
Boonton,8375,9,1,0,2,6,77,15,61,1,0
Boonton Township,4277,2,0,0,0,2,25,5,20,0,0
Bordentown,3937,0,0,0,0,0,43,10,31,2,0
Bordentown Township,11405,12,2,0,4,6,139,28,101,10,0
Bound Brook,10437,21,1,2,9,9,249,45,192,12,3
Bradley Beach,4312,4,0,0,1,3,181,32,144,5,0
Branchburg Township,14507,5,0,1,1,3,158,22,131,5,0
Brick Township,75322,100,0,7,20,73,1313,331,960,22,4
Bridgeton,25433,307,3,8,120,176,1063,412,610,41,7
Bridgewater Township,44612,17,1,2,5,9,658,80,551,27,0
Brielle,4790,2,0,0,1,1,51,9,40,2,0
Brigantine,9481,5,0,1,0,4,239,58,179,2,2
Brooklawn,1962,21,0,4,13,4,236,28,199,9,0
Buena,4618,19,0,1,2,16,98,27,68,3,0
Burlington,9953,43,0,6,19,18,239,45,176,18,2
Burlington Township,22669,37,0,7,9,21,401,85,292,24,1
Butler,7564,5,0,1,1,3,103,38,61,4,0
Byram Township,8378,10,0,0,3,7,47,14,33,0,0
Caldwell,7848,6,0,0,1,5,73,19,50,4,0
Califon,1080,1,0,0,0,1,0,0,0,0,0
Camden,77604,2152,47,66,857,1182,4462,1436,2226,800,136
Cape May,3619,3,0,1,0,2,199,28,168,3,0
Cape May Point,292,0,0,0,0,0,13,5,8,0,0
Carlstadt,6147,5,0,1,0,4,160,10,119,31,0
Carney's Point Township,8076,14,0,1,4,9,198,57,126,15,7
Carteret,22920,47,2,5,17,23,461,101,317,43,1
Cedar Grove Township,12452,5,0,1,0,4,140,36,94,10,1
Chatham,8992,3,0,1,1,1,54,13,38,3,0
Chatham Township,10487,0,0,0,0,0,33,6,25,2,0
Cherry Hill Township,71281,112,1,2,59,50,2387,290,1969,128,4
Chesilhurst,1639,1,0,0,1,0,42,16,24,2,1
Chester,1654,3,0,0,0,3,23,4,19,0,0
Chesterfield Township,7725,0,0,0,0,0,11,3,7,1,0
Chester Township,7864,2,1,0,0,1,62,20,41,1,1
Cinnaminson Township,15621,16,0,5,5,6,386,87,293,6,4
Clark Township,14805,4,0,0,1,3,196,16,174,6,1
Clayton,8206,9,0,0,3,6,164,27,127,10,1
Clementon,5017,17,0,0,12,5,316,102,205,9,2
Cliffside Park,23673,30,1,0,7,22,189,58,122,9,0
Clifton,84416,215,2,10,101,102,1638,311,1131,196,12
Clinton,2728,8,0,2,1,5,15,3,11,1,0
Clinton Township,13523,7,0,0,0,7,80,26,51,3,0
Closter,8401,4,0,0,4,0,74,17,57,0,0
Collingswood,13972,34,0,3,21,10,546,107,417,22,2
Colts Neck Township,10176,3,0,0,1,2,88,21,58,9,0
Cranbury Township,3870,2,0,0,0,2,36,4,31,1,1
Cranford Township,22700,8,1,0,2,5,246,42,192,12,0
Cresskill,8602,3,0,0,0,3,42,12,26,4,0
Deal,752,3,0,0,0,3,77,24,52,1,0
Delanco Township,4297,5,0,0,1,4,148,25,119,4,3
Delaware Township,4578,0,0,0,0,0,35,6,25,4,0
Delran Township,16952,19,0,3,5,11,303,66,225,12,0
Demarest,4897,0,0,0,0,0,36,10,25,1,0
Denville Township,16690,4,0,0,1,3,183,26,150,7,0
Deptford Township,30663,84,0,5,39,40,1871,324,1482,65,0
Dover,18217,51,1,2,28,20,399,84,302,13,0
Dumont,17537,10,1,1,2,6,96,14,81,1,0
Dunellen,7251,11,0,0,2,9,198,45,149,4,0
Eastampton Township,6089,4,0,0,1,3,112,29,82,1,0
East Brunswick Township,47670,47,0,1,19,27,813,96,705,12,8
East Greenwich Township,9587,5,0,1,0,4,133,37,89,7,0
East Hanover Township,11194,4,0,0,0,4,209,29,170,10,0
East Newark,2414,4,0,0,2,2,25,8,10,7,1
East Orange,64484,420,6,16,155,243,1235,458,454,323,20
East Rutherford,8943,12,0,0,3,9,219,26,171,22,0
East Windsor Township,27280,20,0,2,4,14,268,49,201,18,0
Eatontown,12751,34,0,3,14,17,479,66,403,10,0
Edgewater,11551,4,0,0,2,2,184,29,149,6,0
Edgewater Park Township,8911,12,0,0,11,1,207,41,157,9,0
Edison Township,100300,142,2,9,65,66,1832,343,1279,210,12
Egg Harbor City,4257,18,0,1,5,12,150,43,101,6,0
Egg Harbor Township,43467,120,2,9,32,77,981,213,733,35,9
Elizabeth,125386,1315,17,38,723,537,5099,1162,2641,1296,17
Elk Township,4230,9,0,0,2,7,113,35,75,3,2
Elmer,1400,2,0,0,0,2,4,0,4,0,0
Elmwood Park,19468,22,0,0,12,10,405,68,314,23,1
Elsinboro Township,1039,4,0,0,2,2,24,6,18,0,0
Emerson,7426,1,0,0,0,1,67,9,58,0,1
Englewood,27237,68,1,0,22,45,329,111,198,20,3
Englewood Cliffs,5299,2,0,0,0,2,65,11,41,13,0
Englishtown,1853,3,0,0,0,3,15,3,12,0,0
Essex Fells,2120,0,0,0,0,0,18,0,16,2,0
Evesham Township,45690,39,0,11,5,23,737,122,597,18,2
Ewing Township,35909,85,2,7,44,32,814,257,511,46,1
"Fairfield Township, Essex County",7491,11,0,0,6,5,301,60,221,20,0
Fair Haven,6141,1,0,1,0,0,51,4,44,3,0
Fair Lawn,32565,27,0,1,18,8,380,73,294,13,6
Fairview,13881,34,1,0,17,16,190,62,113,15,0
Fanwood,7342,3,0,0,2,1,89,22,65,2,0
Far Hills,922,0,0,0,0,0,12,2,9,1,0
Fieldsboro,542,0,0,0,0,0,0,0,0,0,0
Flemington,4596,6,0,0,4,2,97,12,84,1,0
Florence Township,12149,20,0,0,4,16,113,49,63,1,1
Florham Park,11735,3,0,2,0,1,87,16,69,2,0
Fort Lee,35463,19,0,3,5,11,331,58,261,12,0
Franklin,5062,2,0,2,0,0,158,16,140,2,0
Franklin Lakes,10625,2,0,0,2,0,87,15,66,6,1
"Franklin Township, Gloucester County",16876,14,0,1,3,10,320,116,194,10,0
"Franklin Township, Hunterdon County",3206,3,0,0,1,2,47,9,38,0,0
"Franklin Township, Somerset County",62507,78,1,3,43,31,984,268,656,60,6
Freehold,12092,22,0,2,9,11,263,76,180,7,0
Freehold Township,36304,37,1,5,12,19,1093,124,953,16,3
Frenchtown,1378,0,0,0,0,0,31,5,26,0,0
Galloway Township,37473,85,2,8,22,53,751,242,472,37,11
Garfield,30588,81,0,1,28,52,511,138,328,45,0
Garwood,4240,1,0,0,0,1,61,14,45,2,0
Gibbsboro,2282,2,0,0,0,2,48,15,32,1,0
Glassboro,18641,38,0,5,11,22,414,118,285,11,3
Glen Ridge,7552,13,0,0,5,8,189,42,137,10,2
Glen Rock,11640,0,0,0,0,0,71,14,54,3,1
Gloucester City,11494,36,1,4,16,15,372,105,251,16,0
Gloucester Township,64849,188,1,10,39,138,1595,414,1108,73,5
Green Brook Township,7227,2,0,0,0,2,152,31,119,2,0
"Greenwich Township, Gloucester County",4915,2,0,0,1,1,183,62,117,4,0
"Greenwich Township, Warren County",5731,4,0,0,1,3,78,4,74,0,0
Guttenberg,11213,25,0,0,6,19,109,41,62,6,1
Hackensack,43157,94,0,2,37,55,890,121,697,72,0
Hackettstown,9756,17,0,0,7,10,149,21,122,6,0
Haddonfield,11632,9,0,1,1,7,220,45,173,2,1
Haddon Heights,7498,5,0,2,0,3,154,31,120,3,0
Haddon Township,14756,21,0,0,12,9,366,76,275,15,0
Haledon,8346,16,0,0,8,8,244,73,144,27,0
Hamburg,3288,3,0,0,0,3,39,3,33,3,0
"Hamilton Township, Atlantic County",26591,59,0,5,22,32,993,212,748,33,2
"Hamilton Township, Mercer County",88760,185,0,10,81,94,1817,513,1198,106,9
Hammonton,14840,17,2,0,7,8,200,60,132,8,2
Hanover Township,13758,14,0,1,3,10,207,39,155,13,0
Harding Township,3851,2,0,0,0,2,31,13,17,1,1
Hardyston Township,8240,6,0,0,3,3,145,32,111,2,1
Harrington Park,4680,0,0,0,0,0,16,1,14,1,0
Harrison,13665,54,3,1,20,30,354,103,187,64,0
Harrison Township,12458,9,0,2,4,3,139,31,105,3,1
Harvey Cedars,338,0,0,0,0,0,25,2,23,0,0
Hasbrouck Heights,11881,3,0,0,2,1,78,15,62,1,0
Haworth,3393,0,0,0,0,0,14,9,3,2,0
Hawthorne,18854,14,0,0,8,6,284,65,208,11,0
Hazlet Township,20402,8,0,0,3,5,266,38,221,7,2
Helmetta,2185,1,0,0,0,1,26,7,19,0,0
High Bridge,3660,3,0,1,0,2,28,3,25,0,1
Highland Park,14029,12,0,1,6,5,204,42,150,12,0
Highlands,5022,15,0,3,0,12,71,20,50,1,2
Hightstown,5512,13,0,3,4,6,87,16,67,4,2
Hillsborough Township,38430,10,0,0,4,6,307,74,226,7,1
Hillsdale,10253,3,0,0,0,3,47,4,42,1,0
Hillside Township,21475,89,1,6,63,19,628,138,350,140,0
Hi-Nella,873,3,0,0,0,3,31,12,15,4,0
Hoboken,50171,195,0,5,66,124,901,171,629,101,1
Ho-Ho-Kus,4092,0,0,0,0,0,27,8,18,1,0
Holland Township,5309,2,0,0,0,2,29,3,26,0,0
Holmdel Township,16829,8,0,0,2,6,278,33,238,7,1
Hopatcong,15197,7,0,0,0,7,88,23,60,5,0
Hopewell,1928,3,0,0,0,3,19,5,14,0,0
Hopewell Township,17362,11,0,0,1,10,129,21,104,4,0
Howell Township,51245,53,0,2,14,37,703,168,519,16,2
Independence Township,5681,3,0,0,1,2,37,13,23,1,1
Interlaken,823,1,0,0,1,0,17,7,8,2,0
Irvington,54105,728,14,24,359,331,1878,594,721,563,23
Island Heights,1679,0,0,0,0,0,11,5,6,0,0
Jackson Township,55039,64,0,6,19,39,852,234,599,19,9
Jamesburg,5935,10,0,1,6,3,79,27,49,3,0
Jefferson Township,21385,13,1,0,5,7,214,59,150,5,0
Jersey City,248423,1906,18,49,961,878,5701,1402,3439,860,33
Keansburg,10139,50,0,2,10,38,278,63,210,5,3
Kearny,40819,86,0,3,31,52,1121,183,768,170,6
Kenilworth,7940,7,0,3,3,1,154,21,127,6,0
Keyport,7264,23,0,2,10,11,140,40,92,8,2
Kinnelon,10282,5,0,0,2,3,66,16,48,2,0
Lacey Township,27736,27,0,0,9,18,736,107,615,14,2
Lake Como,1765,3,0,0,1,2,22,3,18,1,0
Lakehurst,2663,2,0,0,1,1,39,7,30,2,0
Lakewood Township,93152,92,2,6,31,53,1073,261,786,26,7
Lambertville,3919,5,0,0,0,5,62,7,53,2,0
Laurel Springs,1914,5,0,0,1,4,56,23,31,2,0
Lavallette,1881,3,0,0,0,3,78,15,63,0,0
Lawnside,2955,15,1,1,8,5,90,21,64,5,0
"Lawrence Township, Mercer County",33583,40,0,3,23,14,1033,131,874,28,2
Lebanon Township,6610,2,0,0,0,2,34,12,22,0,0
Leonia,8967,2,0,0,0,2,99,43,52,4,0
Lincoln Park,10556,4,0,0,0,4,104,25,75,4,0
Linden,40634,112,2,1,59,50,1319,289,847,183,2
Lindenwold,17672,140,3,5,61,71,618,239,328,51,3
Linwood,7116,3,0,0,0,3,87,28,59,0,2
Little Egg Harbor Township,20132,39,0,9,4,26,562,138,409,15,14
Little Falls Township,14480,16,0,0,4,12,207,45,141,21,0
Little Ferry,10661,8,0,1,3,4,121,38,75,8,2
Little Silver,5970,3,0,0,0,3,46,7,38,1,0
Livingston Township,29464,14,0,1,6,7,470,44,390,36,0
Loch Arbour,195,0,0,0,0,0,22,9,13,0,0
Lodi,24216,34,0,0,13,21,370,90,252,28,0
Logan Township,6062,4,0,0,0,4,161,31,119,11,0
Long Beach Township,3061,2,0,0,0,2,139,16,123,0,0
Long Branch,30821,131,0,6,51,74,672,200,442,30,0
Long Hill Township,8731,1,0,0,0,1,72,6,65,1,0
Longport,898,1,0,1,0,0,12,2,10,0,0
Lopatcong Township,8041,1,0,0,0,1,103,17,83,3,0
Lower Alloways Creek Township,1776,0,0,0,0,0,17,9,8,0,0
Lower Township,22942,37,0,1,9,27,544,128,401,15,3
Lumberton Township,12601,13,0,1,5,7,322,59,255,8,1
Lyndhurst Township,20622,15,0,0,10,5,356,57,274,25,0
Madison,15898,8,0,0,2,6,98,26,69,3,0
Magnolia,4355,12,0,0,7,5,133,44,85,4,0
Mahwah Township,25976,3,0,0,0,3,106,10,84,12,0
Manalapan Township,39001,17,0,1,10,6,401,96,285,20,1
Manasquan,5917,11,0,1,3,7,209,23,185,1,2
Manchester Township,43213,15,0,2,0,13,400,134,257,9,9
"Mansfield Township, Burlington County",8572,6,0,0,1,5,98,15,81,2,0
"Mansfield Township, Warren County",7751,17,0,1,1,15,164,30,131,3,0
Mantoloking,297,1,0,0,0,1,52,4,48,0,0
Mantua Township,15268,12,1,1,7,3,312,49,258,5,1
Manville,10378,4,0,0,3,1,183,12,159,12,2
Maple Shade Township,19195,33,0,3,9,21,382,73,260,49,2
Maplewood Township,23946,57,0,3,33,21,391,64,293,34,3
Margate City,6375,1,0,0,0,1,184,22,155,7,0
Marlboro Township,40325,19,0,0,8,11,405,80,303,22,1
Matawan,8839,11,0,0,5,6,123,47,71,5,0
Maywood,9587,1,0,0,0,1,85,23,58,4,0
Medford Lakes,4160,1,0,0,0,1,35,2,33,0,0
Medford Township,23110,13,0,3,4,6,283,55,225,3,2
Mendham,4998,3,0,0,0,3,34,4,27,3,0
Mendham Township,5889,2,0,0,0,2,19,2,17,0,0
Merchantville,3834,7,0,0,1,6,101,18,78,5,0
Metuchen,13619,6,0,1,3,2,205,51,147,7,2
Middlesex,13680,5,0,1,1,3,138,26,105,7,0
Middle Township,18974,70,0,3,15,52,771,158,592,21,0
Middletown Township,66743,36,1,1,11,23,811,187,602,22,2
Midland Park,7152,3,0,0,2,1,52,5,46,1,0
Millburn Township,20216,22,0,0,10,12,721,60,635,26,1
Milltown,6916,8,0,0,1,7,120,19,98,3,0
Millville,28495,224,1,15,65,143,1705,439,1222,44,7
Mine Hill Township,3663,0,0,0,0,0,53,15,37,1,0
Monmouth Beach,3290,1,0,0,1,0,60,7,53,0,0
"Monroe Township, Gloucester County",36249,31,0,2,12,17,719,206,496,17,6
"Monroe Township, Middlesex County",39262,14,1,1,2,10,286,49,230,7,8
Montclair,37794,80,1,1,46,32,662,188,409,65,5
Montgomery Township,22328,2,0,0,1,1,165,28,134,3,2
Montvale,7870,5,0,1,0,4,36,4,29,3,0
Montville Township,21600,7,0,1,1,5,172,43,120,9,0
Moonachie,2717,1,0,0,0,1,51,9,39,3,0
Moorestown Township,20795,13,0,1,7,5,554,74,470,10,1
Morris Plains,5550,2,0,0,1,1,76,9,64,3,0
Morristown,18472,83,0,1,38,44,487,136,340,11,0
Morris Township,22380,10,0,2,2,6,172,33,128,11,1
Mountain Lakes,4174,7,1,0,2,4,46,7,36,3,0
Mountainside,6707,3,0,0,2,1,30,6,23,1,0
Mount Arlington,5067,7,1,0,0,6,52,14,38,0,0
Mount Ephraim,4692,11,0,0,8,3,176,27,135,14,1
Mount Holly Township,9568,38,0,0,17,21,312,67,232,13,0
Mount Laurel Township,42003,36,0,9,13,14,686,109,558,19,0
Mount Olive Township,28211,10,0,3,0,7,260,61,191,8,1
Mullica Township,6167,11,0,0,3,8,125,47,75,3,0
National Park,3046,10,0,0,6,4,73,17,52,4,0
Neptune City,4885,12,0,1,2,9,178,35,139,4,0
Neptune Township,28028,170,0,8,61,101,1843,341,1447,55,8
Netcong,3243,6,0,0,2,4,44,9,34,1,0
Newark,278064,3243,94,58,1977,1114,10016,2396,3921,3699,50
New Brunswick,55365,479,3,7,250,219,1609,404,1102,103,12
Newfield,1558,2,0,0,1,1,19,3,16,0,2
New Hanover Township,7410,0,0,0,0,0,7,3,3,1,0
New Milford,16395,7,0,0,3,4,112,22,87,3,0
New Providence,12212,7,0,0,1,6,107,11,92,4,0
Newton,8024,3,0,0,1,2,121,10,109,2,1
North Arlington,15443,19,0,0,5,14,244,44,163,37,2
North Bergen Township,60975,103,0,4,44,55,744,152,480,112,2
North Brunswick Township,40878,55,1,5,24,25,766,171,528,67,3
North Caldwell,6204,2,0,0,1,1,32,7,21,4,0
Northfield,8653,0,0,0,0,0,112,19,92,1,0
North Haledon,8445,1,0,0,1,0,56,10,46,0,1
North Hanover Township,7704,4,0,1,0,3,76,14,58,4,3
North Plainfield,22009,68,0,6,42,20,344,91,228,25,3
Northvale,4655,1,0,0,0,1,41,10,31,0,0
North Wildwood,4054,6,0,0,2,4,395,101,292,2,0
Norwood,5730,1,0,0,0,1,28,8,20,0,0
Nutley Township,28464,23,0,0,9,14,327,68,229,30,2
Oakland,12796,2,0,0,0,2,90,20,64,6,0
Oaklyn,4051,3,0,1,0,2,122,31,90,1,2
Ocean City,11740,22,0,1,1,20,581,111,468,2,0
Ocean Gate,2018,2,0,0,0,2,89,14,74,1,0
Oceanport,5851,6,0,0,3,3,70,19,49,2,0
"Ocean Township, Monmouth County",27382,43,0,5,14,24,625,99,507,19,4
"Ocean Township, Ocean County",8360,5,0,0,3,2,156,12,139,5,0
Ogdensburg,2418,1,0,0,0,1,16,3,11,2,0
Old Bridge Township,65593,62,1,3,13,45,983,189,714,80,6
Old Tappan,5769,0,0,0,0,0,30,12,18,0,0
Oradell,8005,1,0,0,0,1,48,3,43,2,0
Orange,30234,325,8,11,189,117,1078,401,347,330,3
Oxford Township,2522,1,0,0,0,1,11,6,5,0,0
Palisades Park,19687,22,0,0,7,15,188,78,104,6,0
Palmyra,7423,17,0,0,11,6,193,35,149,9,0
Paramus,26430,61,0,3,22,36,1668,89,1551,28,3
Park Ridge,8674,2,0,0,0,2,41,8,33,0,0
Parsippany-Troy Hills Township,53415,28,0,2,18,8,580,186,384,10,0
Passaic,70013,590,2,6,241,341,1574,320,1046,208,3
Paterson,146685,1490,17,39,751,683,4732,1790,1888,1054,5
Paulsboro,6117,22,1,0,18,3,285,98,178,9,1
Peapack and Gladstone,2591,2,0,0,0,2,6,1,4,1,0
Pemberton,1414,9,0,1,0,8,46,7,38,1,0
Pemberton Township,28005,67,0,7,19,41,817,268,503,46,9
Pennington,2594,0,0,0,0,0,16,3,13,0,0
Pennsauken Township,36004,123,0,7,60,56,1365,307,938,120,3
Penns Grove,5164,34,0,2,15,17,209,75,129,5,1
Pennsville Township,13454,30,0,8,6,16,487,108,365,14,1
Pequannock Township,15592,10,0,0,3,7,174,42,126,6,1
Perth Amboy,50983,226,0,6,93,127,1190,395,695,100,3
Phillipsburg,15000,30,1,6,9,14,452,82,354,16,3
Pine Beach,2134,1,0,0,0,1,104,2,102,0,0
Pine Hill,10267,40,0,2,6,32,288,86,185,17,7
Pine Valley,12,0,0,0,0,0,1,1,0,0,0
Piscataway Township,56231,65,0,0,24,41,686,175,459,52,5
Pitman,9041,1,0,0,0,1,188,34,145,9,0
Plainfield,49974,467,10,16,247,194,1686,605,934,147,19
Plainsboro Township,23076,4,0,0,0,4,160,25,128,7,1
Pleasantville,20316,190,3,7,80,100,712,253,396,63,4
Plumsted Township,8449,4,0,1,1,2,104,27,63,14,1
Pohatcong Township,3350,1,0,0,0,1,132,10,119,3,0
Point Pleasant,18453,14,0,1,4,9,356,61,292,3,2
Point Pleasant Beach,4681,9,0,3,2,4,209,30,176,3,0
Pompton Lakes,11134,11,0,0,0,11,147,32,114,1,0
Princeton,12348,10,0,0,2,8,381,44,334,3,0
Princeton Township,16319,3,0,0,3,0,160,34,124,2,0
Prospect Park,5885,13,0,0,5,8,159,35,106,18,1
Rahway,27437,85,2,0,33,50,540,114,362,64,6
Ramsey,14521,13,0,1,1,11,162,9,147,6,0
Randolph Township,25820,8,1,1,2,4,210,41,166,3,1
Raritan,6904,8,0,0,3,5,127,23,98,6,0
Raritan Township,22259,2,0,1,0,1,199,21,168,10,1
Readington Township,16180,8,0,0,3,5,117,23,93,1,2
Red Bank,12247,29,1,5,10,13,286,40,236,10,0
Ridgefield,11069,2,0,0,1,1,77,16,47,14,0
Ridgefield Park,12771,19,0,0,7,12,183,34,143,6,0
Ridgewood,25041,8,0,0,1,7,185,36,144,5,2
Ringwood,12269,1,0,0,0,1,68,10,55,3,0
Riverdale,3571,8,1,0,2,5,143,8,132,3,0
River Edge,11378,2,0,1,0,1,108,36,66,6,1
Riverside Township,8106,24,0,3,15,6,147,50,90,7,0
Riverton,2788,1,0,1,0,0,65,12,51,2,1
River Vale Township,9691,3,0,0,0,3,18,4,14,0,0
Robbinsville Township,13687,7,0,0,3,4,149,30,114,5,0
Rochelle Park Township,5548,4,0,0,3,1,89,25,56,8,0
Rockaway,6459,1,0,1,0,0,66,5,60,1,0
Rockaway Township,24236,15,0,0,4,11,568,41,513,14,0
Rockleigh,533,0,0,0,0,0,1,1,0,0,0
Roseland,5838,4,0,0,0,4,62,6,47,9,0
Roselle,21155,69,1,1,39,28,471,224,208,39,2
Roselle Park,13341,12,0,0,6,6,142,45,89,8,0
Roxbury Township,23402,9,1,0,4,4,282,72,201,9,0
Rumson,7146,3,0,0,0,3,82,17,60,5,0
Runnemede,8496,24,0,1,12,11,396,60,320,16,0
Rutherford,18121,14,0,0,5,9,268,54,186,28,4
Saddle Brook Township,13704,11,0,0,5,6,305,35,252,18,0
Saddle River,3162,0,0,0,0,0,25,9,14,2,0
Salem,5163,64,0,3,22,39,208,66,138,4,3
Sayreville,42846,50,1,2,16,31,609,159,406,44,4
Scotch Plains Township,23588,17,0,0,8,9,240,50,182,8,0
Sea Bright,1417,0,0,0,0,0,40,2,36,2,0
Sea Girt,1834,3,0,0,1,2,64,7,56,1,0
Sea Isle City,2121,8,0,0,2,6,257,70,187,0,0
Seaside Heights,2897,55,0,2,5,48,304,37,257,10,0
Seaside Park,1584,6,1,1,2,2,82,13,67,2,0
Secaucus,16318,14,0,0,6,8,519,51,427,41,0
Ship Bottom,1160,0,0,0,0,0,62,7,52,3,0
Shrewsbury,3822,3,0,0,3,0,141,18,118,5,0
Somerdale,5168,20,0,1,10,9,272,66,203,3,0
Somers Point,10831,36,0,1,9,26,394,89,301,4,2
Somerville,12138,22,0,0,12,10,230,55,157,18,1
South Amboy,8660,12,0,0,1,11,113,32,77,4,3
South Bound Brook,4578,2,0,0,0,2,51,28,21,2,0
South Brunswick Township,43561,28,0,4,6,18,508,86,393,29,3
South Hackensack Township,2386,11,0,2,3,6,58,9,45,4,0
South Harrison Township,3173,2,0,0,0,2,37,13,19,5,0
South Orange,16252,59,0,0,48,11,361,68,237,56,0
South Plainfield,23463,43,0,0,20,23,368,71,278,19,3
South River,16061,12,0,0,3,9,212,38,168,6,1
South Toms River,3696,11,0,0,2,9,98,31,63,4,0
Sparta Township,19788,3,0,0,1,2,110,18,92,0,0
Spotswood,8284,4,0,0,4,0,114,13,99,2,0
Springfield,15870,9,0,0,5,4,254,35,202,17,0
Springfield Township,3425,0,0,0,0,0,51,22,28,1,0
Spring Lake,3003,3,0,0,0,3,101,12,88,1,0
Spring Lake Heights,4729,5,0,0,1,4,19,7,11,1,0
Stafford Township,26623,11,0,1,5,5,468,43,423,2,1
Stanhope,3622,0,0,0,0,0,41,6,33,2,0
Stillwater Township,4113,0,0,0,0,0,0,0,0,0,0
Stone Harbor,869,0,0,0,0,0,125,13,112,0,0
Stratford,7063,26,0,1,13,12,144,51,91,2,0
Summit,21528,6,0,1,2,3,263,28,227,8,0
Surf City,1209,1,0,0,0,1,33,1,31,1,0
Swedesboro,2593,3,0,0,1,2,30,8,21,1,0
Tavistock,5,0,0,0,0,0,1,0,1,0,0
Teaneck Township,39908,70,2,1,33,34,534,137,379,18,5
Tenafly,14536,3,0,0,2,1,109,29,76,4,1
Teterboro,67,0,0,0,0,0,9,0,7,2,0
Tewksbury Township,6013,3,0,0,1,2,14,8,6,0,0
Tinton Falls,17952,17,0,0,7,10,446,74,366,6,0
Toms River Township,91543,101,1,3,61,36,3135,589,2499,47,10
Totowa,10840,19,0,1,5,13,382,25,332,25,0
Trenton,85196,1208,23,25,519,641,2570,1138,993,439,25
Tuckerton,3358,7,0,0,0,7,59,10,45,4,0
Union Beach,6266,9,0,0,2,7,77,36,41,0,1
Union City,66676,270,3,3,120,144,1299,285,849,165,2
Union Township,56831,116,1,4,63,48,1002,155,745,102,5
Upper Saddle River,8235,6,0,0,1,5,40,8,31,1,1
Ventnor City,10685,20,0,0,8,12,353,114,235,4,0
Vernon Township,24023,10,0,1,2,7,386,69,311,6,0
Verona,13376,9,0,1,2,6,184,61,105,18,0
Voorhees Township,29228,42,1,6,12,23,683,132,529,22,0
Waldwick,9657,2,0,0,0,2,80,8,72,0,1
Wallington,11373,12,0,1,3,8,170,35,123,12,1
Wall Township,26251,16,1,0,2,13,446,114,315,17,0
Wanaque,11153,5,0,0,3,2,110,6,98,6,0
Warren Township,15362,2,0,0,1,1,86,36,47,3,0
Washington,6483,8,0,0,0,8,97,7,85,5,0
"Washington Township, Bergen County",9132,4,0,0,0,4,46,19,26,1,0
"Washington Township, Gloucester County",48720,77,1,3,30,43,1100,164,895,41,4
"Washington Township, Morris County",18595,10,0,0,1,9,100,28,66,6,1
"Washington Township, Warren County",6673,2,0,0,0,2,59,7,52,0,1
Watchung,5820,5,0,0,2,3,389,26,356,7,0
