Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,, ,,,,,,,
"by City, 2013",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Bernardsville,7764,2,0,0,0,2,44,13,29,2,0
Beverly,2571,14,0,0,7,7,62,13,42,7,0
Blairstown Township,5839,1,0,0,0,1,40,20,20,0,1
Bloomfield,47710,137,1,3,90,43,1094,199,735,160,0
Bloomingdale,7706,2,0,0,0,2,48,6,42,0,0
Bogota,8294,5,0,0,1,4,51,12,37,2,0
Boonton,8501,9,0,0,5,4,111,19,92,0,0
Boonton Township,4442,2,0,0,0,2,12,1,11,0,0
Bordentown,3913,0,0,0,0,0,38,13,22,3,0
Bordentown Township,11357,16,0,1,3,12,149,33,113,3,0
Bound Brook,10791,16,0,0,10,6,224,61,160,3,2
Bradley Beach,4298,4,0,1,2,1,129,13,113,3,0
Branchburg Township,14551,4,0,0,1,3,133,22,108,3,0
Brick Township,75371,89,1,4,24,60,1183,252,911,20,2
Bridgeton,25280,340,2,12,165,161,1186,376,763,47,3
Bridgewater Township,45009,16,1,1,8,6,538,70,448,20,0
Brielle,4785,2,0,0,0,2,43,5,35,3,0
Brigantine,9411,3,0,1,0,2,172,54,118,0,0
Brooklawn,1948,18,0,2,10,6,169,23,140,6,0
Buena,4554,16,0,1,0,15,78,31,47,0,2
Burlington,9865,60,1,6,33,20,255,74,168,13,0
Burlington Township,22750,28,0,6,12,10,375,53,307,15,1
Butler,7611,11,0,3,1,7,42,11,29,2,1
Byram Township,8154,0,0,0,0,0,35,7,25,3,0
Caldwell,7876,8,0,1,2,5,66,20,44,2,1
Califon,1047,0,0,0,0,0,6,0,6,0,0
Cape May,3559,4,0,0,0,4,148,25,121,2,1
Cape May Point,286,0,0,0,0,0,15,2,13,0,0
Carlstadt,6388,8,0,1,1,6,125,8,92,25,0
Carney's Point Township,8029,32,1,9,5,17,186,61,117,8,0
Carteret,24484,49,1,2,24,22,368,86,258,24,0
Cedar Grove Township,12648,4,0,0,1,3,91,16,64,11,0
Chatham,9105,2,0,0,1,1,56,12,37,7,1
Chatham Township,10681,0,0,0,0,0,42,3,36,3,0
Cherry Hill Township,71145,123,0,0,41,82,2191,268,1866,57,0
Chesilhurst,1648,4,1,0,1,2,58,26,28,4,0
Chester,1902,3,0,1,0,2,24,5,18,1,0
Chesterfield Township,7518,2,0,0,0,2,31,5,26,0,0
Chester Township,7940,1,0,0,0,1,44,15,29,0,0
Cinnaminson Township,16686,21,2,1,13,5,358,63,287,8,1
Clark Township,15021,5,1,0,1,3,150,9,138,3,0
Clayton,8188,13,0,0,3,10,182,44,132,6,0
Clementon,5013,20,0,1,8,11,226,54,164,8,3
Cliffside Park,23991,50,0,1,20,29,263,62,189,12,0
Clifton,85022,175,0,12,57,106,1521,358,1060,103,1
Clinton,2654,3,0,1,0,2,55,12,42,1,0
Clinton Township,13010,4,0,0,0,4,58,9,44,5,0
Closter,8548,3,0,0,0,3,51,15,34,2,0
Collingswood,13875,26,0,1,12,13,379,110,245,24,0
Colts Neck Township,10075,3,0,0,1,2,91,19,59,13,1
Cranbury Township,3900,2,0,0,2,0,45,6,36,3,0
Cranford Township,23165,4,0,0,4,0,187,26,150,11,1
Deal,744,2,0,1,1,0,63,36,19,8,0
Delanco Township,4737,6,0,1,1,4,94,25,66,3,0
Delaware Township,4476,1,0,0,0,1,30,19,11,0,0
Delran Township,16862,16,0,0,13,3,223,41,174,8,0
Demarest,5001,1,0,0,0,1,30,10,19,1,0
Denville Township,16829,5,0,0,3,2,110,22,81,7,0
Deptford Township,30492,61,1,4,30,26,1489,190,1252,47,3
Dover,18352,28,0,1,15,12,297,71,215,11,0
Dumont,17718,7,0,3,3,1,115,14,100,1,0
Dunellen,7461,3,0,0,0,3,158,45,113,0,0
Eastampton Township,6103,6,0,4,0,2,97,33,64,0,0
East Brunswick Township,48073,30,0,0,9,21,680,118,546,16,9
East Greenwich Township,10218,5,0,0,2,3,88,24,58,6,0
East Hanover Township,11350,19,0,0,2,17,187,22,159,6,0
East Newark,2456,11,0,0,6,5,27,5,14,8,0
East Orange,64425,405,6,12,184,203,1205,357,578,270,9
East Rutherford,9010,7,0,0,2,5,164,18,129,17,0
Eatontown,12405,26,0,2,10,14,459,60,393,6,0
Edgewater,12143,12,0,1,2,9,210,14,190,6,0
Edgewater Park Township,8860,16,0,2,10,4,212,56,138,18,0
Edison Township,101316,123,2,8,56,57,1245,285,854,106,18
Egg Harbor City,4316,19,0,3,5,11,89,33,56,0,0
Egg Harbor Township,43709,106,2,4,28,72,898,196,673,29,5
Elizabeth,127067,999,7,37,554,401,3655,793,1861,1001,4
Elk Township,4254,7,0,0,0,7,79,24,53,2,1
Elmer,1381,0,0,0,0,0,14,3,10,1,0
Elmwood Park,20077,30,0,0,9,21,345,83,247,15,2
Elsinboro Township,1022,0,0,0,0,0,15,4,11,0,0
Emerson,7814,0,0,0,0,0,34,3,30,1,0
Englewood,27782,109,2,1,40,66,442,111,308,23,1
Englewood Cliffs,5358,2,0,0,2,0,64,6,57,1,0
Englishtown,1929,1,0,0,1,0,29,2,26,1,0
Essex Fells,2210,2,1,0,0,1,11,5,4,2,0
Evesham Township,45798,25,0,8,4,13,548,87,444,17,1
Ewing Township,36449,70,1,0,25,44,675,165,438,72,8
"Fairfield Township, Essex County",7517,11,0,1,4,6,228,18,190,20,0
Fair Haven,6075,3,0,0,0,3,29,7,20,2,0
Fair Lawn,33015,17,0,0,7,10,318,52,258,8,3
Fairview,14358,21,0,0,11,10,166,40,116,10,0
Fanwood,7447,6,0,0,0,6,75,13,60,2,0
Far Hills,924,0,0,0,0,0,10,2,8,0,0
Flemington,4653,10,0,0,3,7,60,6,54,0,0
Florence Township,12397,13,0,0,6,7,91,27,56,8,0
Florham Park,11913,7,0,0,3,4,96,9,82,5,0
Fort Lee,35900,28,0,0,12,16,286,36,234,16,0
Franklin,4915,5,0,1,2,2,96,10,86,0,0
Franklin Lakes,10746,2,0,0,1,1,79,21,48,10,0
"Franklin Township, Gloucester County",16740,12,1,0,2,9,344,95,239,10,1
"Franklin Township, Hunterdon County",3106,2,0,1,0,1,27,2,24,1,0
"Franklin Township, Somerset County",63829,79,1,7,42,29,1001,373,569,59,0
Freehold,12108,47,0,1,16,30,224,43,178,3,0
Freehold Township,36048,30,0,3,10,17,770,52,704,14,0
Frenchtown,1347,0,0,0,0,0,36,1,35,0,0
Galloway Township,37304,98,2,9,24,63,617,178,411,28,2
Garfield,31035,62,0,3,26,33,700,124,550,26,0
Garwood,4621,5,0,0,1,4,70,7,62,1,0
Gibbsboro,2262,4,0,0,0,4,40,10,29,1,1
Glassboro,19038,30,0,2,14,14,427,90,325,12,0
Glen Ridge,7626,7,0,0,4,3,156,39,108,9,1
Glen Rock,11877,1,0,0,0,1,95,8,87,0,0
Gloucester City,11453,29,0,5,13,11,301,107,188,6,1
Gloucester Township,64440,190,2,9,35,144,1401,320,1049,32,8
Green Brook Township,7240,3,0,0,2,1,123,18,99,6,1
"Greenwich Township, Gloucester County",4901,4,0,0,2,2,139,26,112,1,0
"Greenwich Township, Warren County",5582,1,0,0,1,0,111,10,100,1,0
Guttenberg,11431,36,0,0,22,14,112,23,83,6,1
Hackensack,44180,111,1,3,34,73,852,74,732,46,1
Hackettstown,9779,8,0,1,2,5,133,21,100,12,0
Haddonfield,11590,8,0,1,2,5,174,28,142,4,0
Haddon Heights,7665,2,0,1,0,1,160,24,135,1,1
Haddon Township,14732,19,0,1,11,7,336,79,244,13,0
Haledon,8627,11,0,0,8,3,149,42,99,8,0
Hamburg,3186,1,0,0,0,1,25,4,21,0,0
"Hamilton Township, Atlantic County",26788,42,0,1,19,22,1025,178,824,23,10
"Hamilton Township, Mercer County",88993,189,1,8,78,102,1862,448,1283,131,1
Hammonton,14737,8,0,0,1,7,151,47,95,9,0
Hanover Township,13951,11,0,0,4,7,135,26,105,4,1
Harding Township,3892,1,0,0,0,1,18,13,5,0,0
Hardyston Township,8049,5,0,0,0,5,107,21,85,1,0
Harrington Park,4859,0,0,0,0,0,7,1,6,0,0
Harrison,13975,63,0,0,32,31,309,50,191,68,0
Harrison Township,12616,3,0,0,1,2,141,48,87,6,0
Harvey Cedars,344,1,0,0,0,1,24,2,21,1,0
Hasbrouck Heights,11983,3,0,0,3,0,83,8,74,1,0
Haworth,3413,0,0,0,0,0,5,1,4,0,0
Hawthorne,18945,4,0,0,1,3,221,60,152,9,0
Hazlet Township,20193,7,0,0,6,1,211,22,182,7,6
Helmetta,2199,3,0,2,0,1,37,10,24,3,0
High Bridge,3560,4,0,0,0,4,19,9,10,0,0
Highland Park,14420,9,0,0,6,3,217,44,167,6,0
Highlands,4969,4,0,0,1,3,69,31,37,1,0
Hightstown,5572,10,0,4,2,4,127,27,96,4,0
Hillsborough Township,39037,7,0,1,2,4,194,55,135,4,2
Hillsdale,10400,3,0,0,0,3,58,3,55,0,0
Hillside Township,21689,91,1,6,53,31,565,147,316,102,0
Hi-Nella,867,5,0,0,0,5,13,2,10,1,0
Hoboken,52771,152,1,6,47,98,970,128,780,62,0
Ho-Ho-Kus,4166,0,0,0,0,0,17,11,5,1,0
Holland Township,5164,0,0,0,0,0,65,12,53,0,0
Holmdel Township,16657,8,0,0,2,6,212,28,177,7,0
Hopatcong,14857,14,1,0,1,12,121,37,82,2,0
Hopewell,1923,2,0,0,1,1,21,5,14,2,0
Hopewell Township,17304,10,1,1,1,7,120,23,94,3,1
Howell Township,51100,41,0,1,18,22,564,79,464,21,2
Independence Township,5604,4,0,1,0,3,57,14,41,2,0
Interlaken,821,0,0,0,0,0,31,10,21,0,0
Irvington,54246,815,17,27,492,279,1613,448,643,522,7
Island Heights,1673,0,0,0,0,0,9,1,7,1,0
Jackson Township,55817,33,0,5,10,18,617,201,403,13,24
Jamesburg,5985,7,0,0,5,2,51,22,28,1,0
Jefferson Township,21516,6,0,0,2,4,157,36,119,2,0
Jersey City,256886,1655,20,35,717,883,4836,1052,3046,738,31
Keansburg,9981,21,0,0,8,13,231,47,181,3,2
Kearny,41677,78,1,3,41,33,888,110,642,136,1
Kenilworth,8069,9,0,4,2,3,145,11,125,9,0
Keyport,7228,15,0,0,6,9,138,31,104,3,1
Kinnelon,10452,1,1,0,0,0,59,14,43,2,0
Lacey Township,27865,19,0,2,3,14,526,65,456,5,0
Lake Como,1730,3,0,0,0,3,23,9,14,0,0
Lakehurst,2666,4,0,1,0,3,36,7,29,0,0
Lakewood Township,92664,93,2,5,34,52,998,186,768,44,6
Lambertville,3815,3,0,1,1,1,48,12,34,2,2
Laurel Springs,1901,1,0,0,1,0,44,19,24,1,0
Lavallette,1877,0,0,0,0,0,47,5,42,0,0
"Lawrence Township, Mercer County",33172,47,0,0,28,19,803,94,673,36,1
Lebanon Township,6439,1,0,0,0,1,35,11,21,3,0
Leonia,9055,6,0,0,1,5,37,13,24,0,0
Lincoln Park,10522,9,0,2,2,5,95,18,74,3,0
Linden,41041,123,0,0,54,69,1216,182,903,131,4
Lindenwold,17863,122,2,6,50,64,533,200,306,27,4
Linwood,7089,1,0,0,0,1,83,19,63,1,0
Little Egg Harbor Township,20412,26,0,3,4,19,344,102,231,11,6
Little Falls Township,14504,12,1,0,1,10,146,24,103,19,0
Little Ferry,10774,9,0,0,2,7,104,21,70,13,0
Little Silver,5988,4,0,0,0,4,79,10,66,3,0
Livingston Township,29621,15,0,0,8,7,384,26,323,35,0
Loch Arbour,193,0,0,0,0,0,22,11,10,1,0
Lodi,24462,36,0,0,14,22,421,91,309,21,1
Logan Township,6019,7,0,0,1,6,135,23,97,15,0
Long Beach Township,3068,2,0,0,0,2,185,43,140,2,0
Long Branch,30602,124,5,6,50,63,842,203,603,36,2
Long Hill Township,8796,2,0,0,1,1,48,10,38,0,0
Longport,885,0,0,0,0,0,6,4,2,0,0
Lopatcong Township,8085,1,0,0,0,1,74,9,65,0,0
Lower Alloways Creek Township,1746,3,0,0,0,3,13,6,7,0,0
Lower Township,22467,31,0,4,9,18,473,100,355,18,2
Lumberton Township,12516,17,0,0,7,10,402,18,374,10,2
Lyndhurst Township,21477,17,0,0,7,10,276,28,220,28,0
Madison,16216,4,0,0,1,3,103,21,79,3,0
Magnolia,4363,14,1,1,7,5,100,34,55,11,1
Manalapan Township,39313,20,0,0,9,11,300,50,229,21,1
Manasquan,5860,3,0,0,1,2,134,34,100,0,0
Manchester Township,43013,19,2,0,5,12,447,110,330,7,2
"Mansfield Township, Burlington County",8652,3,0,0,1,2,102,27,70,5,0
"Mansfield Township, Warren County",7551,9,0,3,2,4,186,30,152,4,1
Mantoloking,297,0,0,0,0,0,26,1,25,0,0
Mantua Township,15097,11,0,0,5,6,269,61,200,8,0
Manville,10412,10,0,1,3,6,267,35,217,15,1
Maple Shade Township,19291,42,1,5,17,19,410,147,234,29,1
Maplewood Township,24230,41,0,0,38,3,485,91,338,56,2
Margate City,6319,5,0,0,2,3,206,52,152,2,2
Marlboro Township,40190,10,0,1,0,9,329,68,239,22,3
Matawan,8745,4,0,0,3,1,89,41,47,1,1
Maywood,9613,6,0,0,4,2,90,18,68,4,0
Medford Lakes,4196,1,0,0,0,1,11,2,9,0,2
Medford Township,23285,11,0,3,3,5,262,65,195,2,5
Mendham,5029,1,0,0,0,1,26,5,19,2,0
Mendham Township,5908,1,0,0,0,1,28,8,20,0,0
Merchantville,3824,7,1,0,2,4,80,13,63,4,0
Metuchen,13748,6,0,1,1,4,180,22,154,4,0
Middlesex,13787,6,0,0,4,2,140,27,111,2,0
Middle Township,18861,59,0,10,10,39,593,113,465,15,3
Middletown Township,66246,43,1,1,13,28,632,122,494,16,3
Midland Park,7268,2,0,0,0,2,34,4,29,1,0
Millburn Township,20177,9,1,0,7,1,473,36,416,21,0
Milltown,6972,0,0,0,0,0,45,7,38,0,0
Millville,28661,254,0,13,119,122,2317,453,1815,49,3
Mine Hill Township,3691,0,0,0,0,0,28,9,19,0,1
Monmouth Beach,3280,0,0,0,0,0,59,18,39,2,0
"Monroe Township, Gloucester County",36798,49,1,2,24,22,824,261,530,33,3
"Monroe Township, Middlesex County",41356,9,1,2,0,6,242,33,196,13,4
Montclair,37962,73,2,2,33,36,571,195,341,35,5
Montgomery Township,22467,3,1,0,0,2,103,26,70,7,0
Montvale,8004,3,0,0,0,3,36,1,33,2,0
Montville Township,21757,5,0,1,0,4,158,38,112,8,0
Moonachie,2747,4,0,0,0,4,57,8,46,3,0
Moorestown Township,20706,24,0,3,11,10,426,45,365,16,1
Morris Plains,5773,3,0,0,1,2,62,6,56,0,0
Morristown,18552,84,0,1,43,40,468,79,370,19,1
Morris Township,22640,11,0,0,2,9,177,42,124,11,0
Mountain Lakes,4311,0,0,0,0,0,32,6,22,4,0
Mountainside,6815,1,0,1,0,0,48,10,36,2,0
Mount Arlington,5324,2,0,0,0,2,41,6,35,0,0
Mount Ephraim,4678,10,0,0,4,6,171,23,142,6,1
Mount Holly Township,9316,38,0,1,19,18,283,44,228,11,3
Mount Laurel Township,41839,28,0,8,13,7,729,151,558,20,3
Mount Olive Township,28611,16,0,1,4,11,255,60,184,11,0
Mullica Township,6202,5,0,0,1,4,74,29,43,2,0
National Park,3011,7,0,0,1,6,61,19,36,6,0
Neptune City,4830,19,0,0,8,11,219,38,175,6,0
Neptune Township,27856,174,0,6,74,94,1220,191,992,37,9
Netcong,3279,7,0,2,0,5,49,13,34,2,0
Newark,278246,3516,112,45,2433,926,8965,2074,3997,2894,34
New Brunswick,56542,303,3,19,165,116,1665,546,1032,87,3
Newfield,1538,1,0,0,0,1,24,9,14,1,1
New Hanover Township,8011,0,0,0,0,0,7,1,6,0,1
New Milford,16577,2,1,0,0,1,80,16,63,1,0
New Providence,12463,3,0,1,1,1,112,24,87,1,0
Newton,7812,7,0,0,0,7,106,21,84,1,1
North Arlington,15597,12,0,0,4,8,197,47,131,19,1
North Bergen Township,62436,102,0,6,43,53,638,135,427,76,2
North Brunswick Township,41425,45,0,3,15,27,867,190,644,33,2
North Caldwell,6403,1,0,0,0,1,38,11,24,3,0
Northfield,8647,1,0,0,0,1,93,17,75,1,0
North Hanover Township,7738,8,0,3,2,3,53,12,39,2,0
North Plainfield,22030,53,0,5,20,28,408,121,262,25,1
Northvale,4919,3,0,0,1,2,19,0,18,1,0
North Wildwood,3973,11,0,0,1,10,316,28,287,1,1
Norwood,5855,1,0,0,0,1,22,6,16,0,0
Nutley Township,28660,20,0,1,6,13,285,58,208,19,1
Oakland,12927,2,0,0,1,1,80,12,65,3,0
Oaklyn,4023,6,1,0,1,4,97,21,74,2,0
Ocean City,11473,12,0,3,3,6,440,88,346,6,0
Ocean Gate,2027,1,0,0,0,1,38,10,28,0,0
Oceanport,5833,6,0,0,3,3,113,41,70,2,1
"Ocean Township, Monmouth County",27180,50,0,2,19,29,735,133,588,14,3
"Ocean Township, Ocean County",8565,1,0,0,0,1,81,11,66,4,0
Ogdensburg,2365,1,0,0,0,1,23,9,11,3,0
Old Bridge Township,66528,47,1,1,18,27,832,151,635,46,1
Old Tappan,5882,0,0,0,0,0,15,4,11,0,0
Oradell,8126,2,0,1,0,1,49,3,44,2,0
Orange,30952,377,6,5,266,100,871,269,377,225,3
Oxford Township,2459,1,0,0,0,1,10,0,10,0,0
Palisades Park,20062,19,0,0,7,12,120,34,78,8,0
Palmyra,7412,25,0,0,12,13,205,47,149,9,3
Paramus,26628,32,0,0,27,5,1315,52,1228,35,0
Park Ridge,8948,1,0,1,0,0,28,5,22,1,0
Parsippany-Troy Hills Township,53851,19,1,0,18,0,444,78,351,15,0
Passaic,70445,512,2,1,240,269,1140,279,726,135,2
Paterson,145082,1555,18,26,848,663,4101,1368,1984,749,7
Paulsboro,6034,27,0,0,14,13,187,43,136,8,0
Peapack and Gladstone,2570,0,0,0,0,0,23,2,19,2,0
Pemberton,1392,3,0,1,0,2,27,11,16,0,0
Pemberton Township,27949,86,1,13,21,51,681,296,349,36,7
Pennington,2585,0,0,0,0,0,5,0,5,0,0
Pennsauken Township,35788,105,1,6,49,49,1128,267,758,103,0
Penns Grove,5075,18,0,1,5,12,144,36,97,11,1
Pennsville Township,13183,12,0,1,1,10,361,75,283,3,0
Pequannock Township,15580,6,0,0,3,3,119,27,90,2,0
Perth Amboy,52093,243,1,10,95,137,1041,238,663,140,3
Phillipsburg,14619,30,1,6,11,12,378,128,234,16,3
Pine Beach,2138,0,0,0,0,0,19,4,14,1,0
Pine Hill,10704,46,1,2,10,33,274,91,171,12,1
Pine Valley,12,0,0,0,0,0,3,0,3,0,0
Piscataway Township,58259,46,2,2,14,28,548,137,384,27,3
Pitman,8930,7,2,0,3,2,109,20,87,2,0
Plainfield,50433,427,9,9,165,244,1284,381,807,96,15
Pleasantville,20909,145,0,8,51,86,424,71,327,26,1
Plumsted Township,8544,12,0,7,1,4,47,25,19,3,0
Pohatcong Township,3291,4,0,0,1,3,213,5,205,3,1
Point Pleasant,18458,16,0,1,2,13,215,45,167,3,0
Point Pleasant Beach,4678,3,0,0,2,1,177,24,150,3,0
Pompton Lakes,11163,7,0,0,0,7,120,23,93,4,0
Princeton,28688,17,0,4,9,4,305,45,259,1,0
Prospect Park,5903,11,1,1,5,4,140,47,73,20,0
Rahway,27930,50,1,2,24,23,452,92,317,43,2
Ramsey,14826,14,0,0,2,12,144,16,121,7,0
Randolph Township,25969,4,0,0,3,1,172,30,138,4,0
Raritan,7352,6,0,0,2,4,116,12,100,4,0
Raritan Township,21849,4,1,1,1,1,189,29,156,4,0
Readington Township,15910,2,0,0,0,2,163,33,126,4,0
Red Bank,12174,19,0,4,10,5,264,28,233,3,1
Ridgefield,11340,4,0,0,2,2,69,10,53,6,0
Ridgefield Park,12923,5,0,0,0,5,114,16,87,11,1
Ridgewood,25315,8,0,2,0,6,226,46,179,1,0
Ringwood,12383,5,0,0,1,4,85,25,59,1,0
Riverdale,4025,1,0,0,0,1,181,6,175,0,0
River Edge,11517,1,0,0,0,1,53,14,36,3,0
Riverside Township,8063,24,0,0,11,13,117,43,67,7,1
Riverton,2798,4,1,0,1,2,56,21,33,2,0
River Vale Township,9885,9,0,4,0,5,17,2,15,0,0
Robbinsville Township,14046,6,0,0,1,5,142,32,109,1,0
Rochelle Park Township,5597,3,0,0,2,1,56,8,46,2,0
Rockaway,6500,5,0,2,1,2,47,6,37,4,0
Rockaway Township,24444,11,0,1,9,1,486,48,427,11,1
Rockleigh,531,1,0,0,0,1,1,0,1,0,0
Roseland,5912,1,0,0,0,1,48,8,33,7,0
Roselle,21388,65,0,1,28,36,444,151,239,54,3
Roselle Park,13593,8,0,1,1,6,104,28,67,9,1
Roxbury Township,23599,7,0,1,2,4,315,48,260,7,0
Rumson,7021,2,0,0,2,0,49,6,40,3,1
Runnemede,8459,13,0,0,6,7,223,50,160,13,0
Rutherford,18291,9,0,0,2,7,285,58,216,11,1
Saddle Brook Township,14152,6,0,0,2,4,286,33,240,13,0
Saddle River,3190,1,0,0,0,1,34,17,15,2,0
Salem,5175,54,3,3,15,33,313,89,219,5,2
Sayreville,44174,38,1,1,14,22,535,121,386,28,4
Scotch Plains Township,23914,19,0,1,5,13,188,48,136,4,0
Sea Bright,1381,1,0,0,0,1,43,3,39,1,0
Sea Girt,1796,0,0,0,0,0,23,7,16,0,0
Sea Isle City,2093,3,0,1,1,1,355,110,241,4,0
Seaside Heights,2892,30,0,1,7,22,209,38,169,2,0
Seaside Park,1589,3,0,0,2,1,33,7,26,0,0
Secaucus,19119,18,0,0,7,11,506,38,427,41,0
Ship Bottom,1159,1,0,0,0,1,45,5,38,2,0
Shrewsbury,3941,3,0,0,1,2,64,7,53,4,0
Somerdale,5276,14,0,2,4,8,334,43,287,4,2
Somers Point,10806,28,0,0,4,24,301,47,249,5,3
Somerville,12174,15,0,0,9,6,205,31,161,13,0
South Amboy,8753,16,0,0,4,12,138,24,106,8,0
South Bound Brook,4889,1,0,0,0,1,31,9,19,3,0
South Brunswick Township,44575,21,0,0,8,13,540,90,422,28,1
South Hackensack Township,2444,5,0,0,2,3,35,5,28,2,0
South Harrison Township,3202,1,0,0,0,1,28,13,13,2,1
South Orange,16297,35,0,1,30,4,327,56,234,37,0
South Plainfield,23789,19,0,0,6,13,400,79,309,12,1
South River,16198,28,0,2,9,17,188,41,140,7,1
South Toms River,3698,7,0,1,2,4,82,19,60,3,1
Sparta Township,19494,4,0,0,0,4,144,22,121,1,1
Spotswood,8459,4,0,0,0,4,57,14,43,0,4
Springfield,17238,12,0,1,6,5,211,38,159,14,0
Springfield Township,3414,1,0,0,0,1,39,13,25,1,0
Spring Lake,2992,1,0,0,0,1,72,9,60,3,0
Spring Lake Heights,4680,1,0,1,0,0,14,4,10,0,0
Stafford Township,27063,14,0,0,5,9,508,117,383,8,1
Stanhope,3529,1,0,0,0,1,37,10,26,1,0
Stone Harbor,850,0,0,0,0,0,103,8,95,0,0
Stratford,6982,11,0,0,3,8,116,16,96,4,0
Summit,21973,8,0,1,3,4,219,27,175,17,1
Surf City,1207,0,0,0,0,0,38,8,30,0,0
Swedesboro,2911,2,0,0,1,1,32,11,21,0,1
Tavistock,5,0,0,0,0,0,0,0,0,0,0
Teaneck Township,40245,49,0,0,22,27,541,113,411,17,2
Tenafly,14696,2,0,0,0,2,97,40,53,4,0
Teterboro,70,1,0,0,0,1,17,2,14,1,0
Tewksbury Township,5854,0,0,0,0,0,24,8,15,1,0
Tinton Falls,17849,6,0,1,1,4,405,47,352,6,0
Toms River Township,92332,74,1,5,48,20,2742,527,2192,23,9
Totowa,10985,23,0,1,5,17,328,49,262,17,0
Trenton,84439,1122,37,13,525,547,2321,996,909,416,20
Tuckerton,3369,2,0,0,0,2,53,9,42,2,0
Union Beach,6198,15,0,0,2,13,61,19,42,0,0
Union City,68254,247,0,0,108,139,1090,189,787,114,5
Union Township,57335,92,1,2,60,29,1008,151,727,130,1
Upper Saddle River,8321,3,0,0,0,3,36,7,26,3,0
Ventnor City,10604,12,0,0,6,6,391,162,224,5,0
Vernon Township,23443,5,0,1,0,4,308,51,255,2,0
Verona,13429,3,0,0,3,0,118,30,74,14,0
Vineland,60863,208,1,14,84,109,2336,594,1681,61,3
Voorhees Township,29284,31,0,1,10,20,548,104,428,16,4
Waldwick,9936,1,1,0,0,0,40,12,28,0,0
Wallington,11683,9,0,0,6,3,136,32,102,2,0
Wall Township,26051,11,0,0,3,8,337,55,267,15,0
Wanaque,11173,8,0,0,2,6,104,11,92,1,0
Warren Township,15841,3,0,0,0,3,100,29,69,2,0
Washington,6408,4,0,0,1,3,73,3,70,0,0
"Washington Township, Bergen County",9271,2,1,0,0,1,61,15,46,0,0
"Washington Township, Gloucester County",48110,23,0,0,16,7,1103,246,828,29,2
"Washington Township, Morris County",18782,2,0,0,0,2,72,10,60,2,0
"Washington Township, Warren County",6493,2,0,0,0,2,41,3,37,1,0
Watchung,5844,6,0,0,5,1,374,13,358,3,0
Waterford Township,10747,14,0,2,1,11,104,18,79,7,1
Wayne Township,54917,29,0,1,15,13,1173,123,998,52,2
Weehawken Township,12937,21,0,0,10,11,260,36,206,18,0
Wenonah,2263,0,0,0,0,0,28,8,17,3,2
Westampton Township,8796,17,0,3,8,6,219,33,179,7,1
West Amwell Township,3763,2,0,0,0,2,15,6,9,0,0
West Caldwell Township,10878,6,0,0,3,3,99,9,78,12,0
